year,category,firstname,surname,gender,birthyear
1988,physics,Jack,Steinberger,male,1921
1989,physics,Norman F.,Ramsey,male,1915
1989,physics,Hans G.,Dehmelt,male,1922
1989,physics,Wolfgang,Paul,male,1913
1990,physics,Jerome I.,Friedman,male,1930
1990,physics,Henry W.,Kendall,male,1926
1990,physics,Richard E.,Taylor,male,1929
1991,physics,Pierre-Gilles,de Gennes,male,1932
1992,physics,Georges,Charpak,male,1924
1993,physics,Russell A.,Hulse,male,1950
1993,physics,Joseph H.,Taylor Jr.,male,1941
1994,physics,Bertram N.,Brockhouse,male,1918
1994,physics,Clifford G.,Shull,male,1915
1995,physics,Martin L.,Perl,male,1927
1995,physics,Frederick,Reines,male,1918
1996,physics,David M.,Lee,male,1931
1996,physics,Douglas D.,Osheroff,male,1945
1996,physics,Robert C.,Richardson,male,1937
1997,physics,Steven,Chu,male,1948
1997,physics,Claude,Cohen-Tannoudji,male,1933
1997,physics,William D.,Phillips,male,1948
1998,physics,Robert B.,Laughlin,male,1950
1998,physics,Horst L.,Störmer,male,1949
1998,physics,Daniel C.,Tsui,male,1939
1999,physics,Gerardus,'t Hooft,male,1946
1999,physics,Martinus J.G.,Veltman,male,1931
1901,chemistry,Jacobus Henricus,van 't Hoff,male,1852
1902,chemistry,Hermann Emil,Fischer,male,1852
1903,chemistry,Svante August,Arrhenius,male,1859
1904,chemistry,Sir William,Ramsay,male,1852
1905,chemistry,Johann Friedrich Wilhelm Adolf,von Baeyer,male,1835
1906,chemistry,Henri,Moissan,male,1852
1907,chemistry,Eduard,Buchner,male,1860
1908,chemistry,Ernest,Rutherford,male,1871
1909,chemistry,Wilhelm,Ostwald,male,1853
1910,chemistry,Otto,Wallach,male,1847
1912,chemistry,Victor,Grignard,male,1871
1912,chemistry,Paul,Sabatier,male,1854
1913,chemistry,Alfred,Werner,male,1866
1914,chemistry,Theodore William,Richards,male,1868
1915,chemistry,Richard Martin,Willstätter,male,1872
1918,chemistry,Fritz,Haber,male,1868
1920,chemistry,Walther Hermann,Nernst,male,1864
1921,chemistry,Frederick,Soddy,male,1877
1922,chemistry,Francis William,Aston,male,1877
1923,chemistry,Fritz,Pregl,male,1869
1925,chemistry,Richard Adolf,Zsigmondy,male,1865
1926,chemistry,The (Theodor),Svedberg,male,1884
1927,chemistry,Heinrich Otto,Wieland,male,1877
1928,chemistry,Adolf Otto Reinhold,Windaus,male,1876
1929,chemistry,Arthur,Harden,male,1865
1929,chemistry,Hans Karl August Simon,von Euler-Chelpin,male,1873
1930,chemistry,Hans,Fischer,male,1881
1931,chemistry,Carl,Bosch,male,1874
1931,chemistry,Friedrich,Bergius,male,1884
1932,chemistry,Irving,Langmuir,male,1881
1934,chemistry,Harold Clayton,Urey,male,1893
1935,chemistry,Frédéric,Joliot,male,1900
1935,chemistry,Irène,Joliot-Curie,female,1897
1936,chemistry,Petrus (Peter) Josephus Wilhelmus,Debye,male,1884
