year,category,firstname,surname,gender,birthyear
1927,literature,Henri,Bergson,male,1859
1928,literature,Sigrid,Undset,female,1882
1929,literature,Thomas,Mann,male,1875
1930,literature,Sinclair,Lewis,male,1885
1931,literature,Erik Axel,Karlfeldt,male,1864
1932,literature,John,Galsworthy,male,1867
1933,literature,Ivan Alekseyevich,Bunin,male,1870
1934,literature,Luigi,Pirandello,male,1867
1936,literature,Eugene Gladstone,O'Neill,male,1888
1937,literature,Roger,Martin du Gard,male,1881
1938,literature,Pearl,Buck,female,1892
1939,literature,Frans Eemil,Sillanpää,male,1888
1944,literature,Johannes Vilhelm,Jensen,male,1873
1945,literature,Gabriela,Mistral,female,1889
1946,literature,Hermann,Hesse,male,1877
1947,literature,André Paul Guillaume,Gide,male,1869
1948,literature,Thomas Stearns,Eliot,male,1888
1949,literature,William,Faulkner,male,1897
1950,literature,Earl (Bertrand Arthur William),Russell,male,1872
1951,literature,Pär Fabian,Lagerkvist,male,1891
1952,literature,François,Mauriac,male,1885
1953,literature,Sir Winston Leonard Spencer,Churchill,male,1874
1954,literature,Ernest Miller,Hemingway,male,1899
1955,literature,Halldór Kiljan,Laxness,male,1902
1956,literature,Juan Ramón,Jiménez,male,1881
1957,literature,Albert,Camus,male,1913
1958,literature,Boris Leonidovich,Pasternak,male,1890
1959,literature,Salvatore,Quasimodo,male,1901
1960,literature,Saint-John,Perse,male,1887
1961,literature,Ivo,Andric,male,1892
1962,literature,John,Steinbeck,male,1902
1963,literature,Giorgos,Seferis,male,1900
1964,literature,Jean-Paul,Sartre,male,1905
1965,literature,Mikhail Aleksandrovich,Sholokhov,male,1905
1966,literature,Shmuel Yosef,Agnon,male,1888
1966,literature,Nelly,Sachs,female,1891
1967,literature,Miguel Angel,Asturias,male,1899
1968,literature,Yasunari,Kawabata,male,1899
1969,literature,Samuel,Beckett,male,1906
1970,literature,Aleksandr Isayevich,Solzhenitsyn,male,1918
1971,literature,Pablo,Neruda,male,1904
1972,literature,Heinrich,Böll,male,1917
1973,literature,Patrick,White,male,1912
1974,literature,Eyvind,Johnson,male,1900
1974,literature,Harry,Martinson,male,1904
1975,literature,Eugenio,Montale,male,1896
1976,literature,Saul,Bellow,male,1915
1977,literature,Vicente,Aleixandre,male,1898
1978,literature,Isaac Bashevis,Singer,male,1904
1979,literature,Odysseus,Elytis,male,1911
1980,literature,Czeslaw,Milosz,male,1911
1981,literature,Elias,Canetti,male,1905
1982,literature,Gabriel,García Márquez,male,1927
1983,literature,William,Golding,male,1911
1984,literature,Jaroslav,Seifert,male,1901
1985,literature,Claude,Simon,male,1913
1986,literature,Wole,Soyinka,male,1934
1987,literature,Joseph,Brodsky,male,1940
1988,literature,Naguib,Mahfouz,male,1911
1989,literature,Camilo José,Cela,male,1916
1990,literature,Octavio,Paz,male,1914
1991,literature,Nadine,Gordimer,female,1923
1992,literature,Derek,Walcott,male,1930
1993,literature,Toni,Morrison,female,1931
1994,literature,Kenzaburo,Oe,male,1935
1995,literature,Seamus,Heaney,male,1939
1996,literature,Wislawa,Szymborska,female,1923
1997,literature,Dario,Fo,male,1926
1998,literature,José,Saramago,male,1922
1999,literature,Günter,Grass,male,1927
1969,economics,Ragnar,Frisch,male,1895
1969,economics,Jan,Tinbergen,male,1903
1970,economics,Paul A.,Samuelson,male,1915
1971,economics,Simon,Kuznets,male,1901
1972,economics,John R.,Hicks,male,1904
1972,economics,Kenneth J.,Arrow,male,1921
1973,economics,Wassily,Leontief,male,1906
1974,economics,Gunnar,Myrdal,male,1898
1974,economics,Friedrich August,von Hayek,male,1899
1975,economics,Leonid Vitaliyevich,Kantorovich,male,1912
1975,economics,Tjalling C.,Koopmans,male,1910
1976,economics,Milton,Friedman,male,1912
1977,economics,Bertil,Ohlin,male,1899
1977,economics,James E.,Meade,male,1907
1978,economics,Herbert A.,Simon,male,1916
1979,economics,Theodore W.,Schultz,male,1902
1979,economics,Sir Arthur,Lewis,male,1915
1980,economics,Lawrence R.,Klein,male,1920
1981,economics,James,Tobin,male,1918
1982,economics,George J.,Stigler,male,1911
1983,economics,Gerard,Debreu,male,1921
1984,economics,Richard,Stone,male,1913
1985,economics,Franco,Modigliani,male,1918
1986,economics,James M.,Buchanan Jr.,male,1919
1987,economics,Robert M.,Solow,male,1924
1988,economics,Maurice,Allais,male,1911
1989,economics,Trygve,Haavelmo,male,1911
1990,economics,Harry M.,Markowitz,male,1927
1990,economics,Merton H.,Miller,male,1923
1990,economics,William F.,Sharpe,male,1934
1991,economics,Ronald H.,Coase,male,1910
1992,economics,Gary S.,Becker,male,1930
1993,economics,Robert W.,Fogel,male,1927
1993,economics,Douglass C.,North,male,1920
1994,economics,John C.,Harsanyi,male,1920
1994,economics,John F.,Nash Jr.,male,1928
1994,economics,Reinhard,Selten,male,1930
1995,economics,Robert E.,Lucas Jr.,male,1937
1996,economics,James A.,Mirrlees,male,1936
1996,economics,William,Vickrey,male,1914
1997,economics,Robert C.,Merton,male,1944
1997,economics,Myron S.,Scholes,male,1941
1998,economics,Amartya,Sen,male,1933
1999,economics,Robert A.,Mundell,male,1932
1958,physics,Il´ja Mikhailovich,Frank,male,1908
2000,medicine,Arvid,Carlsson,male,1923
2000,medicine,Paul,Greengard,male,1925
2000,medicine,Eric R.,Kandel,male,1929
2000,peace,Kim,Dae-jung,male,1925
2000,physics,Zhores I.,Alferov,male,1930
2000,physics,Herbert,Kroemer,male,1928
2000,physics,Jack S.,Kilby,male,1923
2000,chemistry,Alan J.,Heeger,male,1936
2000,chemistry,Alan G.,MacDiarmid,male,1927
2000,chemistry,Hideki,Shirakawa,male,1936
2000,economics,James J.,Heckman,male,1944
2000,economics,Daniel L.,McFadden,male,1937
2000,literature,Gao,Xingjian,male,1940
2001,medicine,Leland H.,Hartwell,male,1939
2001,medicine,Tim,Hunt,male,1943
2001,medicine,Sir Paul M.,Nurse,male,1949
2001,physics,Eric A.,Cornell,male,1961
2001,physics,Wolfgang,Ketterle,male,1957
2001,physics,Carl E.,Wieman,male,1951
2001,chemistry,William S.,Knowles,male,1917
2001,chemistry,Ryoji,Noyori,male,1938
2001,chemistry,K. Barry,Sharpless,male,1941
2001,economics,George A.,Akerlof,male,1940
2001,economics,Joseph E.,Stiglitz,male,1943
2001,literature,Sir Vidiadhar Surajprasad,Naipaul,male,1932
2001,peace,Kofi,Annan,male,1938
2002,medicine,Sydney,Brenner,male,1927
2002,medicine,H. Robert,Horvitz,male,1947
2002,medicine,John E.,Sulston,male,1942
2002,physics,Raymond,Davis Jr.,male,1914
2002,physics,Masatoshi,Koshiba,male,1926
2002,physics,Riccardo,Giacconi,male,1931
2002,chemistry,John B.,Fenn,male,1917
2002,chemistry,Koichi,Tanaka,male,1959
2002,chemistry,Kurt,Wüthrich,male,1938
2002,economics,Daniel,Kahneman,male,1934
2002,economics,Vernon L.,Smith,male,1927
2002,literature,Imre,Kertész,male,1929
2002,peace,Jimmy,Carter,male,1924
2003,literature,John M.,Coetzee,male,1940
2003,medicine,Paul C.,Lauterbur,male,1929
2003,medicine,Sir Peter,Mansfield,male,1933
2003,physics,Alexei A.,Abrikosov,male,1928
2003,physics,Vitaly L.,Ginzburg,male,1916
2003,physics,Anthony J.,Leggett,male,1938
2003,chemistry,Peter,Agre,male,1949
2003,chemistry,Roderick,MacKinnon,male,1956
2003,economics,Robert F.,Engle III,male,1942
2003,economics,Clive W.J.,Granger,male,1934
2003,peace,Shirin,Ebadi,female,1947
2004,medicine,Richard,Axel,male,1946
2004,medicine,Linda B.,Buck,female,1947
2004,physics,David J.,Gross,male,1941
2004,physics,H. David,Politzer,male,1949
2004,physics,Frank,Wilczek,male,1951
2004,chemistry,Aaron,Ciechanover,male,1947
2004,chemistry,Avram,Hershko,male,1937
2004,chemistry,Irwin,Rose,male,1926
2004,literature,Elfriede,Jelinek,female,1946
2004,peace,Wangari Muta,Maathai,female,1940
2004,economics,Finn E.,Kydland,male,1943
2004,economics,Edward C.,Prescott,male,1940
2005,medicine,Barry J.,Marshall,male,1951
2005,medicine,J. Robin,Warren,male,1937
2005,physics,Roy J.,Glauber,male,1925
2005,physics,John L.,Hall,male,1934
2005,physics,Theodor W.,Hänsch,male,1941
2005,chemistry,Yves,Chauvin,male,1930
2005,chemistry,Robert H.,Grubbs,male,1942
2005,chemistry,Richard R.,Schrock,male,1945
2005,peace,Mohamed,ElBaradei,male,1942
2005,economics,Robert J.,Aumann,male,1930
2005,economics,Thomas C.,Schelling,male,1921
2005,literature,Harold,Pinter,male,1930
2006,medicine,Andrew Z.,Fire,male,1959
2006,medicine,Craig C.,Mello,male,1960
2006,physics,John C.,Mather,male,1946
2006,physics,George F.,Smoot,male,1945
2006,chemistry,Roger D.,Kornberg,male,1947
2006,economics,Edmund S.,Phelps,male,1933
2006,literature,Orhan,Pamuk,male,1952
2006,peace,Muhammad,Yunus,male,1940
2007,medicine,Mario R.,Capecchi,male,1937
2007,medicine,Sir Martin J.,Evans,male,1941
2007,medicine,Oliver,Smithies,male,1925
2007,physics,Albert,Fert,male,1938
2007,physics,Peter,Grünberg,male,1939
2007,chemistry,Gerhard,Ertl,male,1936
2007,literature,Doris,Lessing,female,1919
2007,peace,Albert Arnold (Al),Gore Jr.,male,1948
2007,economics,Leonid,Hurwicz,male,1917
2007,economics,Eric S.,Maskin,male,1950
2007,economics,Roger B.,Myerson,male,1951
2008,medicine,Harald,zur Hausen,male,1936
2008,medicine,Françoise,Barré-Sinoussi,female,1947
2008,medicine,Luc,Montagnier,male,1932
2008,physics,Yoichiro,Nambu,male,1921
2008,physics,Makoto,Kobayashi,male,1944
2008,physics,Toshihide,Maskawa,male,1940
2008,chemistry,Osamu,Shimomura,male,1928
2008,chemistry,Martin,Chalfie,male,1947
2008,chemistry,Roger Y.,Tsien,male,1952
2008,literature,Jean-Marie Gustave,Le Clézio,male,1940
2008,peace,Martti,Ahtisaari,male,1937
2008,economics,Paul,Krugman,male,1953
2009,medicine,Elizabeth H.,Blackburn,female,1948
2009,medicine,Carol W.,Greider,female,1961
2009,medicine,Jack W.,Szostak,male,1952
2009,physics,Charles Kuen,Kao,male,1933
2009,physics,Willard S.,Boyle,male,1924
2009,physics,George E.,Smith,male,1930
2009,chemistry,Thomas A.,Steitz,male,1940
2009,chemistry,Ada E.,Yonath,female,1939
2009,literature,Herta,Müller,female,1953
2009,peace,Barack H.,Obama,male,1961
2009,economics,Elinor,Ostrom,female,1933
2009,economics,Oliver E.,Williamson,male,1932
2010,medicine,Robert G.,Edwards,male,1925
2010,physics,Andre,Geim,male,1958
2010,physics,Konstantin,Novoselov,male,1974
2010,chemistry,Richard F.,Heck,male,1931
2010,chemistry,Ei-ichi,Negishi,male,1935
2010,chemistry,Akira,Suzuki,male,1930
2010,literature,Mario,Vargas Llosa,male,1936
2010,peace,Liu,Xiaobo,male,1955
2010,economics,Peter A.,Diamond,male,1940
2010,economics,Dale T.,Mortensen,male,1939
2010,economics,Christopher A.,Pissarides,male,1948
2011,medicine,Bruce A.,Beutler,male,1957
2011,medicine,Jules A.,Hoffmann,male,1941
2011,medicine,Ralph M.,Steinman,male,1943
2011,physics,Brian P.,Schmidt,male,1967
2011,physics,Adam G.,Riess,male,1969
2011,chemistry,Dan,Shechtman,male,1941
2011,literature,Tomas,Tranströmer,male,1931
2011,peace,Ellen,Johnson Sirleaf,female,1938
2011,peace,Leymah,Gbowee,female,1972
2011,peace,Tawakkol,Karman,female,1979
2011,economics,Thomas J.,Sargent,male,1943
2011,economics,Christopher A.,Sims,male,1942
2012,medicine,Sir John B.,Gurdon,male,1933
2012,medicine,Shinya,Yamanaka,male,1962
2012,physics,Serge,Haroche,male,1944
2012,physics,David J.,Wineland,male,1944
2012,chemistry,Robert J.,Lefkowitz,male,1943
2012,chemistry,Brian K.,Kobilka,male,1955
2012,literature,Mo,Yan,male,1955
2012,economics,Alvin E.,Roth,male,1951
2012,economics,Lloyd S.,Shapley,male,1923
2013,medicine,James E.,Rothman,male,1950
2013,medicine,Randy W.,Schekman,male,1948
2013,medicine,Thomas C.,Südhof,male,1955
2013,physics,François,Englert,male,1932
2013,physics,Peter W.,Higgs,male,1929
2013,chemistry,Martin,Karplus,male,1930
2013,chemistry,Michael,Levitt,male,1947
2013,chemistry,Arieh,Warshel,male,1940
2013,literature,Alice,Munro,female,1931
2013,economics,Eugene F.,Fama,male,1939
2013,economics,Lars Peter,Hansen,male,1952
2013,economics,Robert J.,Shiller,male,1946
2014,medicine,John,O'Keefe,male,1939
2014,medicine,May-Britt,Moser,female,1963
2014,medicine,Edvard I.,Moser,male,1962
2014,physics,Isamu,Akasaki,male,1929
2014,physics,Hiroshi,Amano,male,1960
2014,physics,Shuji,Nakamura,male,1954
2014,chemistry,Eric,Betzig,male,1960
2014,chemistry,Stefan W.,Hell,male,1962
2014,chemistry,William E.,Moerner,male,1953
2014,literature,Patrick,Modiano,male,1945
2014,peace,Kailash,Satyarthi,male,1954
2014,peace,Malala,Yousafzai,female,1997
2014,economics,Jean,Tirole,male,1953
2015,medicine,William C.,Campbell,male,1930
2015,medicine,Satoshi,Ōmura,male,1935
2015,medicine,Youyou,Tu,female,1930
2015,physics,Takaaki,Kajita,male,1959
2015,physics,Arthur B.,McDonald,male,1943
2015,chemistry,Tomas,Lindahl,male,1938
2015,chemistry,Paul,Modrich,male,1946
2015,chemistry,Aziz,Sancar,male,1946
2015,literature,Svetlana,Alexievich,female,1948
2015,economics,Angus,Deaton,male,1945
2016,medicine,Yoshinori,Ohsumi,male,1945
2016,physics,David J.,Thouless,male,1934
2016,physics,F. Duncan M.,Haldane,male,1951
2016,physics,J. Michael,Kosterlitz,male,1943
2016,chemistry,Jean-Pierre,Sauvage,male,1944
2016,chemistry,Sir J. Fraser,Stoddart,male,1942
2016,chemistry,Bernard L.,Feringa,male,1951
2016,peace,Juan Manuel,Santos,male,1951
2016,economics,Oliver,Hart,male,1948
2016,economics,Bengt,Holmström,male,1949
2016,literature,Bob,Dylan,male,1941
2017,medicine,Jeffrey C.,Hall,male,1945
2017,medicine,Michael,Rosbash,male,1944
2017,medicine,Michael W.,Young,male,1949
2017,physics,Rainer,Weiss,male,1932
2017,physics,Barry C.,Barish,male,1936
2017,physics,Kip S.,Thorne,male,1940
2017,chemistry,Jacques,Dubochet,male,1942
2017,chemistry,Joachim,Frank,male,1940
2017,chemistry,Richard,Henderson,male,1945
2017,literature,Kazuo,Ishiguro,male,1954
2017,economics,Richard H.,Thaler,male,1945
2018,medicine,James P.,Allison,male,1948
2018,medicine,Tasuku,Honjo,male,1942
2018,physics,Arthur,Ashkin,male,1922
2018,physics,Gérard,Mourou,male,1944
2018,chemistry,Frances H.,Arnold,female,1956
2018,chemistry,Sir Gregory P.,Winter,male,1951
